"","video_id","publishedAt","channelId","title","description","thumbnails.default.url","thumbnails.default.width","thumbnails.default.height","thumbnails.medium.url","thumbnails.medium.width","thumbnails.medium.height","thumbnails.high.url","thumbnails.high.width","thumbnails.high.height","channelTitle","liveBroadcastContent","publishTime"
"32","NuGFo8rtDvQ","2025-01-24T04:54:19Z","UChjd5M1K5Y3vQLgmIveZyzg","‘Heil Tesla’: Activists Target Elon Musk in Berlin Protest","Activists have staged a protest at Tesla's Berlin Gigafactory, projecting imagery onto the facility's exterior. The display included ...","https://i.ytimg.com/vi/NuGFo8rtDvQ/default.jpg","120","90","https://i.ytimg.com/vi/NuGFo8rtDvQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/NuGFo8rtDvQ/hqdefault.jpg","480","360","The Australian","none","2025-01-24T04:54:19Z"
"33","Zapu7oC2MJU","2025-01-20T20:49:25Z","UC0pCsHlEEmCfxllZSlRB2Og","LIVE From Trump Inauguration Protest in Washington, D.C.","Jon Farina is LIVE in Washington D.C. as protesters gather before Trump's inauguration. They are demanding money for people's ...","https://i.ytimg.com/vi/Zapu7oC2MJU/default.jpg","120","90","https://i.ytimg.com/vi/Zapu7oC2MJU/mqdefault.jpg","320","180","https://i.ytimg.com/vi/Zapu7oC2MJU/hqdefault.jpg","480","360","Status Coup News","none","2025-01-20T20:49:25Z"
"34","vhS5EwonADk","2025-01-29T16:32:56Z","UCeY0bbntWzzVIaj2z3QigXg","Protesters interrupted Robert F. Kennedy Jr.’s Senate confirmation hearing.","Protesters interrupted Robert F. Kennedy Jr.'s #Senate confirmation hearing to lead the Department of Health and Human ...","https://i.ytimg.com/vi/vhS5EwonADk/default.jpg","120","90","https://i.ytimg.com/vi/vhS5EwonADk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/vhS5EwonADk/hqdefault.jpg","480","360","NBC News","none","2025-01-29T16:32:56Z"
"35","cyfePdBB8-I","2025-01-28T02:16:28Z","UCaXkIU1QidjPwiAYu6GcHjg","Trump loses 2025 clash, as many seize power of protest (Rolling Stone’s Protest Songs x The Beat)","As Trump returns to Washington – facing a new court loss on immigration – Rolling Stone Magazine publishes its '100 Best ...","https://i.ytimg.com/vi/cyfePdBB8-I/default.jpg","120","90","https://i.ytimg.com/vi/cyfePdBB8-I/mqdefault.jpg","320","180","https://i.ytimg.com/vi/cyfePdBB8-I/hqdefault.jpg","480","360","MSNBC","none","2025-01-28T02:16:28Z"
"36","lPgqYbBGW88","2025-01-27T04:29:55Z","UCxMXl9L79X1Mq_4iwCOyPFg","Hundreds gather in North Texas to protest immigration policies","The protests follow the Trump administration's announcement on Tuesday that it would allow federal immigration agencies, ...","https://i.ytimg.com/vi/lPgqYbBGW88/default.jpg","120","90","https://i.ytimg.com/vi/lPgqYbBGW88/mqdefault.jpg","320","180","https://i.ytimg.com/vi/lPgqYbBGW88/hqdefault.jpg","480","360","CBS TEXAS","none","2025-01-27T04:29:55Z"
"37","etTriOb0KW0","2025-01-19T00:19:19Z","UCIjSUWHWp6KohfnR5OQTXnQ","Activists in Lower Manhattan protest against another Trump presidency","The historic Women's March is returned to Washington DC Saturday ahead of President-elect Donald Trump's inauguration, but ...","https://i.ytimg.com/vi/etTriOb0KW0/default.jpg","120","90","https://i.ytimg.com/vi/etTriOb0KW0/mqdefault.jpg","320","180","https://i.ytimg.com/vi/etTriOb0KW0/hqdefault.jpg","480","360","FOX 5 New York","none","2025-01-19T00:19:19Z"
"38","DzXZWOKCGHs","2025-01-26T14:21:23Z","UCtWWry0cgjWi9C0Ye9sh6og","Protest rocks Zverev&#39;s runner-up speech","A woman in the crowd yelled out ""Australia believes Olga and Brenda"" as Alexander Zverev prepared to give his runner-up ...","https://i.ytimg.com/vi/DzXZWOKCGHs/default.jpg","120","90","https://i.ytimg.com/vi/DzXZWOKCGHs/mqdefault.jpg","320","180","https://i.ytimg.com/vi/DzXZWOKCGHs/hqdefault.jpg","480","360","news.com.au","none","2025-01-26T14:21:23Z"
"39","GOnk24UcI14","2024-12-03T00:04:42Z","UC52X5wxOL_s5yw0dQk7NtgA","Hundreds protest in California against Trump&#39;s mass deportation plans","Hundreds of people demonstrated around the California Capitol on Monday to urge the Legislature to try to stop Trump's mass ...","https://i.ytimg.com/vi/GOnk24UcI14/default.jpg","120","90","https://i.ytimg.com/vi/GOnk24UcI14/mqdefault.jpg","320","180","https://i.ytimg.com/vi/GOnk24UcI14/hqdefault.jpg","480","360","Associated Press","none","2024-12-03T00:04:42Z"
"40","9f9-v8bdsCQ","2024-12-07T22:27:11Z","UC7fWeaHhqgM4Ry-RMpM2YYw","Zionist attacks pro-Palestine protesters in Paris by showing his gun","A Zionist armed with a pistol harassed and threatened pro-Palestine demonstrators in Paris on December 7, tearing down signs ...","https://i.ytimg.com/vi/9f9-v8bdsCQ/default.jpg","120","90","https://i.ytimg.com/vi/9f9-v8bdsCQ/mqdefault.jpg","320","180","https://i.ytimg.com/vi/9f9-v8bdsCQ/hqdefault.jpg","480","360","TRT World","none","2024-12-07T22:27:11Z"
"41","8d1wOnEdLQk","2025-01-29T04:21:00Z","UCVuFPbAjTi3mqpH-0veJRWg","After apparent ICE raid in North Philadelphia, immigration advocates protest in Old City","After an apparent ICE raid at a car wash in North Philadelphia Tuesday morning, immigration advocates protested in Old City.","https://i.ytimg.com/vi/8d1wOnEdLQk/default.jpg","120","90","https://i.ytimg.com/vi/8d1wOnEdLQk/mqdefault.jpg","320","180","https://i.ytimg.com/vi/8d1wOnEdLQk/hqdefault.jpg","480","360","CBS Philadelphia","none","2025-01-29T04:21:00Z"
